#,Master,I1 QBSA,I1 QBSA,I1 QBSA,I1 QBSA,I1 QBSA,I1 QBSA,I1 QBSA,I1 QBSA,I1 QBSA,I1 QBSA,I1 QBSA,I1 QBSA
0,bpm:60 lpb:1,F#2,,,D5 amp:0.2,,,,,,,,
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,C#5 amp:0.2,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
4,,G2,,,D5 amp:0.2,,,,,,,,
5,,,,,,,,,,,,,
6,,,,,,,,,,,,,
7,,,,,C#5 amp:0.2,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
8,,A2,,,D5 amp:0.2,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,C#5 amp:0.2,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
12,,B2,,,D5 amp:0.2,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,E5 amp:0.3,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
16,,F#2,,F#3,C#5 amp:0.3,,,,,,,,
17,,,,,D5 amp:0.3,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,E5 amp:0.35,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
20,,G2,,G3,D5 amp:0.4,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,C#5 amp:0.45,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
24,,A2,,A3,D5 amp:0.5,,,,,,,,
25,,,,,,,,,,,,,
26,,,,,,,,,,,,,
27,,,,,C#5 amp:0.55,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
28,,B2,,B3,D5 amp:0.6,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
31,,,,,E5 amp:0.7,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
32,,F#2,,F#3,D5 amp:0.7,,,A5 amp:0.7,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,G5 amp:0.7,,,,,
35,,,,,,,,F#5 amp:0.7,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
36,,G2,,G3,D5 amp:0.7,,,F#5,,,,,
37,,,,,,,,,,,,,
38,,,,,,,,E5,,,,,
39,,,,,,,,F#5,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
40,,A2,,A3,D5 amp:0.7,,,F#5,,,,,
41,,,,,,,,,,,,,
42,,,,,,,,E5,,,,,
43,,,,,,,,F#5,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
44,,B2,,B3,D5 amp:0.7,,,G5,,,,,
45,,,,,,,,F#5,,,,,
46,,,,,,,,A5,,,,,
47,,,,,,,,C#6,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
48,bpm:60 lpb:16,F#2,,F#3,D5 amp:0.7,,,D6,,,,,
49,,,,,,,,,,,,,
50,,OFF,,OFF,OFF,,,OFF,,,,,
51,,,,,,,,,,,,,
52,,F#2,,F#3,D5 amp:0.7,,,D6,,,,,
53,,,,,,,,,,,,,
54,,OFF,,OFF,OFF,,,OFF,,,,,
55,,,,,,,,,,,,,
56,,F#2,,,,,,,,,,,
57,,,,,,,,,,,,,
58,,,,F#3,D5 amp:0.7,,,,,,,,
59,,,,,,,,,,,,,
60,,OFF,,OFF,OFF,,,D6,,,,,
61,,,,,,,,,D5,,,,
62,,,,,,,,,,D4,,,
63,,,,,,,,,,,D3,,
64,bpm:90 lpb:1,,,,,,,C#3,OFF,OFF,OFF,,
65,bpm:90 lpb:8,,,,,,,A5,,,,,
66,,,,,F#2,,,B5,,,,,
67,bpm:90 lpb:3,,,,,,,G5,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
68,bpm:60 lpb:1,G2,,G3,E5,,,E6,,,,,
69,,,,,,,,D6,,,,,
70,,,,,,,,C#6,,,,,
71,,,,,,,,B5,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
72,,A2,,A3,D5,,,A5,,,,,
73,,,,,,,,,,,,,
74,,,,,,,,,,,,,
75,,,,,C#5,,G5,OFF,,,,,
76,,,,,,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
77,,,,,,,,,,,,,
78,,A3,D4,F#4,OFF,D5,OFF,F#5,,,,,
79,,,,,,,,,,,,,
80,,,,,,,,,,,,,
81,,,,,,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
82,,amp:0.6,amp:0.6,amp:0.6,,amp:0.6,,amp:0.6,,,,,
83,,,,,,,,,,,,,
84,,,,,,,,,,,,,
85,,,,,,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
86,,,,,,,,,,,,,
87,,,,,,,,,,,,,
88,,OFF,OFF,OFF,,OFF,,OFF,,,,,
89,,,,,,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
90,,,,,,,,,,,,,
91,,,,,,,,,,,,,
92,,,,,,,,,,,,,
93,,,,,,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
94,,,,,,,,,,,,,
95,,,,,,,,,,,,,
96,,,,,,,,,,,,,
97,,,,,,,,,,,,,